entity	label	description	group	group_label	different_from	different_from_label
Q616302	watermelon snow		Q2583205	Chlamydomonas nivalis	NA	
Q645199	Red kuri squash		Q165308	pumpkin	NA	
Q957750	bindweed		Q190903	herbaceous plant	NA	
Q1026228	rattan palms		Q14080	Arecaceae	NA	
Q1588333	Lotus		Q468996	Nelumbo lutea	NA	
Q1588333	Lotus		Q16528	Nelumbo nucifera	NA	
Q2189969	Spider crab		Q280949	Majoidea	NA	
Q2750918	feral horse		Q26644764	Equus ferus caballus	NA	
Q2750918	feral horse		Q10758650	Equus caballus	NA	
Q2932478	NA		Q15548309	parrot	NA	
Q2940109	NA		Q666222	Thraupidae	NA	
Q2957706	NA		Q5113	bird	NA	
Q2998809	Waz couleuvre		Q170713	grass snake	NA	
Q3060012	egret		Q18789	Ardeidae	NA	
Q3116821	Grive		Q26050	Turdidae	NA	
Q3116925	Gurnard		Q2703368	Prionotus	NA	
Q3116925	Gurnard		Q607603	piper gurnard	NA	
Q3120530	Guillemot		Q28294	Alcidae	Q24698499	Guillemot
Q3241272	Toadflax		Q1748235	Plantaginaceae	NA	
Q3259077	NA		Q5113	bird	NA	
Q3281200	Tent caterpillar		Q10790185	Malacosoma	NA	
Q3295856	NA		Q26617	Apodidae	NA	
Q3325437	NA		Q5113	bird	NA	
Q3363288	Paradisier		Q25341	Passeriformes	NA	
Q3473531	NA		Q903316	Anatini	NA	
Q3535546	NA		Q428243	Cancer	NA	
Q3540783	Troque		Q4867740	Gastropoda	NA	
Q3589095	Sparrowhawk		Q188737	Accipiter	NA	
Q3916915	dormouse		Q108235	Gliridae	NA	
Q3917144	Domeykosaurus		Q138074	Atacamatitan	NA	
Q4779023	NA		Q673823	Adiantum	NA	
Q4801985	NA		Q7367	Culicidae	NA	
Q6825761	Mexican dace		Q307718	Evarra bustamantei	NA	
Q8021345	Olw		Q25222	owl	Q1076751	Q1076751
Q11065036	Bedla		Q11723904	Sericeomyces	NA	
Q11065036	Bedla		Q1300898	Leucocoprinus	NA	
Q11065036	Bedla		Q1297274	Leucoagaricus	NA	
Q11065036	Bedla		Q1090886	Lepiota	NA	
Q11065036	Bedla		Q606322	Cystolepiota	NA	
Q11065036	Bedla		Q606310	Chamaemyces	NA	
Q11065036	Bedla		Q604880	Chlorophyllum	NA	
Q11065036	Bedla		Q80469	Echinoderma	NA	
Q11065036	Bedla		Q19748	Macrolepiota	NA	
Q11330205	NA		Q44064	Sockeye salmon	NA	
Q11345018	NA		Q56883741	Rhododendron pentaphyllum var. nikoense	NA	
Q11345018	NA		Q16692333	Rhododendron albrechtii	NA	
Q11345018	NA		Q2193897	Rhododendron quinquefolium	NA	
Q12261861	NA		Q215185	Scombridae	NA	
Q12498168	NA		Q132419	Shorea	NA	
