entity	alias
Q10630	Mecicobothriidae
Q10630	sheet funnel-web spiders
Q10639	tree trapdoor spider
Q10642	the pirate spiders
Q10671	Scaffold web spider family
Q10798	the pigs
Q10811	Reptilia
Q10811	reptiles
Q10850	rodent
Q10850	the rodents
Q10856	dove
Q10856	Columbidae
Q5182	kinorhynchs
Q5184	penis worms
Q5184	priapulid worms
Q5185	nematode
Q5185	roundworm
Q5185	roundworms
Q5186	gordian worms
Q5186	horsehair worms
Q5191	velvet worms
Q19058	Bonasa umbellus
Q19068	Tympanuchus phasianellus
Q19075	Lichanura trivirgata
Q19078	Inioidea
Q140	African lion
Q140	Asiatic Lion
Q140	Panthera leo
Q152	Pisces
Q14334	carcajou
Q14334	glutton
Q14334	Gulo gulo
Q14334	quickhatch
Q14334	skunk bear
Q14443	common dolphinfish
Q14443	Coryphaena hippurus
Q14560	cactus
Q14560	cacti
Q14560	cactuses
Q14677	breadfruit tree
Q14680	Pseudochelidon
Q14683	English sparrow
Q10908	amphibians
Q10915	chordate
Q10970	Oxyopidae
Q10995	cellar spider
Q10998	potato
Q10998	potato plant
Q6408	กบจริง
Q6573	hamster
Q6573	the hamster subfamily
Q6598	aleva
Q6598	bird pepper
Q6598	Capsicum annuum 'Cayenne'
Q6598	Capsicum annuum var. acuminatum
Q6598	Cayenne pepper
Q6598	cow-horn pepper
Q6598	Guinea spice
Q6598	red hot chili pepper
Q6598	red pepper
Q6836	Ascoviridae
Q500	Citrus × limon
Q500	Citrus limon
Q500	lemon tree
Q536	Betta imbellis
Q536	Crescent Betta
Q549	Betta splendens
Q549	Betta trifasciata
Q549	Macropodus pugnax
Q729	Animalia
Q729	animals
Q729	Metazoa
Q5194	moss piglet
Q5194	moss piglets
Q5194	water bear
Q5194	water bears
Q5874	Antrodiætidæ
Q5874	folding trapdoor spiders
Q5876	Anyphaenid sac spider
Q5883	orb-weaver spider
Q5892	Archaeidae
Q5892	Pelican spider
Q5895	Atypidae
Q6120	Urchin
Q6120	Erinaceinae
Q6120	Hedgepig
Q6120	Urcheon
Q6145	Hedgehog
Q6145	common hedgehog
Q6145	Erinaceus europaeus
Q7377	mammals
Q7380	primates
Q7380	the primate order
Q11006	soybean
Q11006	soya bean
Q11006	soy bean
Q11575	corn plant
Q11575	maize plant
Q15083	three-horned giraffe
Q15343	duckbill
Q15343	Ornithorhynchus anatinus
Q15787	human immunodeficiency virus
Q15787	Human Immunodeficiency Virus, HIV
Q15856	Cave salamander
Q15856	human fish
Q15856	Proteus anguinus
Q15856	white salamander
Q15872	geckos
Q15879	Sauria
Q15879	Lizards
Q19088	Eukarya
Q19088	Eukaryota
Q266	sundews
Q430	dinosauria
Q430	dinosaurio
Q434	the pear genus
Q11687	jumping spiders
Q11710	Scytodidae
Q11712	Tube-dwelling spider
Q11714	wall spider
Q11714	flattie
Q11714	wall crab spider
Q11721	Huntsman spider
Q11724	Sheetweb spider
Q11788	bear
Q11788	Bear
Q11788	bears
Q15879	Lacertili
Q15879	Lacertilia
Q16528	Lotus
Q16528	Sacred lotus
Q16528	Bean of India
Q16528	Indian lotus
Q16819	Colaptes auratus
Q17107	Pugnose shiner
Q17107	Pugnose Shiner
Q17134	fish-eating crocodile
Q17134	gavial
Q17134	gharial
Q17134	Gharial
Q17148	Rabbitfishes
Q17148	Spinefoots
Q17149	catsharks
Q17149	gato
Q17149	Scyliorhinidae
Q17149	dogfish
Q17156	Aphasmidia
Q19081	Prokaryota
Q14683	Indian house sparrow
Q14683	Indian sparrow
Q14959	sapodilla
Q15083	Giraffa camelopardalis
Q808	infectious agent
Q808	viruses
Q1357	spider
Q1357	spider (animal)
Q1357	spider (arachnid)
Q1357	spider (arthropod)
Q1357	spiders
Q1357	the spider order
Q1357	true spiders
Q1357	🕷
Q1358	arachnid
Q1358	arachnids
Q6844	HBV
Q6868	VZV
Q6868	human herpesvirus 3
Q6900	Epstein-Barr virus
Q6900	human herpesvirus 4
Q6929	Human herpesvirus 5
Q6974	Human Herpesvirus 6 Infection
Q10867	mereswine
Q10867	Phocoenidae
Q10872	Archaeans
Q10872	Archaebacteria
