entity	taxon_common_name
Q140	African Lion
Q140	Lion
Q182347	Asiatic Lion
Q1940028	German
Q1358	Arachnids
Q4801375	Antipolo
Q4388	Eurasian Red Squirrel
Q4388	Red squirrel
Q4388	Red Squirrel
Q8634	Sac Spiders
Q8708	Wandering Spiders
Q10553	Hersiliids
Q10579	Armored Trapdoor Spider
Q10966	Wall spiders
Q10970	Lynx spider
Q11962	Biscuit beetle
Q11962	Bread beetle
Q11962	Drugstore beetle
Q12004	oak
Q13182	lychee
Q25851	Rabbit
Q26696	Eider
Q180404	Shou
Q192524	Canary
Q223289	Pilot
Q326976	Red Squirrel
Q378080	Red Sheep
Q517840	Mao
Q655597	lychee
Q742925	Shou
Q1137199	Map
Q1498026	Congo
Q3020810	Wall spiders
Q3312856	Congo
Q7224923	vanilla
Q18836	Andalusian Hemipode
Q18836	Common Buttonquail
Q18847	Common Moorhen
Q20863	Common pond skater
Q21062	Common Murre
Q21707	argyreia
Q22712	Asian Wild Horse
Q23367	Australian Grayling
Q23367	Cucumber Herring
Q25317	Common Barn-owl
Q25393	Common Nightingale
Q25403	beech
Q25407	Bumble Bees
Q25432	Common Pheasant
Q25709	Bittern
Q25709	Common Bittern
Q26064	Brown-headed Gull
Q26198	Carrion Crow
Q26490	Common Kestrel
Q26620	Common Redstart
Q26685	Atlantic Puffin
Q26755	Black Redstart
Q26913	Common seal
Q26913	Common Seal
Q26961	Common Reed Bunting
Q27129	Caspian Tern
Q27459	Black-nest Swiftlet
Q27583	bellis
Q27742	Asian Wild Horse
Q27929	Bahamondi's Beaked Whale
Q29995	Common otter
Q29995	Common Otter
Q30107	Band-winged Grasshoppers
Q30153	Atlantic mackerel
Q30153	Atlantic Mackerel
Q31396	Blackeye Emperor
Q31769	Asian Spine-tailed Swift
Q31851	Collared Carpetshark
Q489866	Andaman Masked Owl
Q1117923	Barracuda
Q2143924	Bata
Q2232216	Barracuda
Q2306485	Barracuda
Q2449682	Barracuda
Q2482811	Caesar
Q2616519	Barracuda
Q14562931	angiosperms
Q25660639	Caspian tern
Q17134	Fish-eating Crocodile
Q17134	Gavial
Q17134	Gharial
Q17134	Indian Gavial
Q17134	Indian Gharial
Q17134	Long-nosed Crocodile
Q17970	Jabiru
Q17970	Jabiru stork
Q18836	Kurrichane Buttonquail
Q18851	Little Ringed Plover
Q19551	Lesser Prairie Chicken
Q19551	Lesser Prairie-chicken
Q19551	Lesser Prairie-Chicken
Q21062	Guillemot
Q21795	hornwort
Q22691	currant
Q22712	Mongolian Wild Horse
Q23366	Murray Cod
Q23366	Murray River cod
Q23366	Murray River Cod
Q23367	Cucumber Mullet
Q23367	Cucumberfish
Q25393	Nightingale
Q25450	Northern Pintail
Q25709	Eurasian Bittern
Q26387	European eel
Q26387	European Eel
Q26490	Eurasian Kestrel
Q26490	Kestrel
Q26559	European mink
Q26559	European Mink
Q26582	European polecat
Q26582	European Polecat
Q26657	Goldcrest
Q26896	Fulmar
Q26896	Northern Fulmar
Q26913	Harbor Seal
Q26913	Harbour Seal
Q27456	Palau Swiftlet
Q27542	Halmahera Swiftlet
Q27542	Moluccan Swiftlet
Q27581	Mariana Swiftlet
Q27615	garden lovage
Q27742	Mongolian Wild Horse
Q28842	Hidden Angelshark
Q29488	Judas-tree
Q29995	Eurasian Otter
Q29995	European Otter
Q29995	European River Otter
Q29995	Old World Otter
Q30024	dandelion
Q30034	Honey bee
Q30041	European Medicinal Leech
Q30041	Medicinal leech
Q30153	Joey
Q30153	Mackerel
Q30959	jimsonweed
Q31255	Madagascan Fruit Bat
Q31255	Malagasy Straw-colored Fruit Bat
Q31713	House Swift
Q31769	Needle-tailed Swift
Q31788	Ornate wobbegong
Q31788	Ornate Wobbegong
Q31801	Edible-nest Swiftlet
Q31804	Fulvous-breasted Woodpecker
Q31866	Pacific Swift
Q31936	Malaysian apple
Q131521	mangrove
Q149485	currant
Q149775	currant
Q150558	Mangrove
Q158294	hornwort
Q180960	Onager
Q192497	jimsonweed
Q260261	mangrove
Q506857	Mackerel
Q611324	House Swift
Q782800	Eastern Barn Owl
Q920906	mangrove
Q1012757	hornwort
Q1033172	Mackerel
Q1424322	locoweed
Q1498026	Hamlet
Q2007698	Hamlet
Q2236628	Mackerel
Q2243106	Mangrove
Q2288528	Mackerel
Q2473570	Hamlet
Q2536162	Flounder
Q2613405	mangrove
Q2613405	Mangrove
